Brawler,Map,Adjusted Win Rate
PENNY,Acute Angle,0.581863783
NANI,Bridge Too Far,0.58184391
JESSIE,Deep End,0.581843722
LOLA,Scorched Stone,0.581813767
ASH,Ruins,0.581798921
SPROUT,Dry Season,0.581768543
NITA,Pit Stop,0.581756455
8-BIT,Nuts & Bolts,0.581749593
GALE,Firm Grip,0.581698667
ROSA,Field Goal,0.58168044
SQUEAK,Goldarm Gulch,0.581662903
SANDY,Triple Dribble,0.581654103
LOLA,Rockwall Brawl,0.581648403
PAM,Hard Rock Mine,0.58163521
BO,Luis' Revenge,0.581625085
NITA,Hot Potato,0.581612586
CROW,Pinhole Punt,0.581609231
EMZ,Double Swoosh,0.581606179
MAX,Pinhole Punt,0.581555623
NITA,Parallel Plays,0.581550165
CROW,Cotton Candy Dreams,0.581535737
JESSIE,MONKEY MAZE,0.58152141
MORTIS,Excel,0.581513593
NITA,Flaring Phoenix,0.581501664
8-BIT,Field Goal,0.581495405
ROSA,Slalom Slam,0.581477482
TICK,Luis' Revenge,0.581455278
LOLA,Deep Diner,0.581438098
MR. P,Backyard Bowl,0.581412987
JESSIE,Firm Grip,0.581337902
TARA,TIGER TRAP,0.581261789
BIBI,MONKEY MAZE,0.581255997
FANG,Pierced,0.581195706
DARRYL,Rockwall Brawl,0.581183212
8-BIT,SHROUDING SERPENT,0.581170692
BYRON,Hideout,0.581164064
BUZZ,Center Stage,0.581132285
SPIKE,Bot Drop,0.581105361
AMBER,DUELIST'S DESTINY,0.581100892
CROW,Center Stage,0.581051381
GALE,Sticky Notes,0.581016389
8-BIT,Backyard Bowl,0.580987606
CROW,NO SURRENDER,0.580987451
LOU,Binary Coding,0.58092365
8-BIT,Junk Park,0.580877048
TICK,Layer Cake,0.580845469
GRIFF,DUELIST'S DESTINY,0.580835949
CARL,DUELIST'S DESTINY,0.580821461
ASH,Ends Meet,0.580800244
BO,Bric-a-Brac,0.580746085
RICO,TIGER TRAP,0.580734311
TICK,Dry Season,0.580729226
LOU,Pinball Dreams,0.580679963
TARA,Acute Angle,0.580666043
NITA,Flooded Mine,0.580645179
JACKY,Middle Ground,0.580643759
SPROUT,Luis' Revenge,0.580551638
LOU,Electric Zone,0.58050725
BELLE,Bridge Too Far,0.580456231
SANDY,Ring of Fire,0.58036507
PIPER,Shooting Star,0.580329677
GROM,Lit Match,0.580324548
NITA,Bridge Too Far,0.580320703
GROM,Double Trouble,0.580275788
PAM,MONKEY MAZE,0.580208371
JACKY,Slalom Slam,0.580203914
SQUEAK,Belle's Rock,0.580203827
COLETTE,Nuts & Bolts,0.580165
BELLE,Backyard Bowl,0.580158119
LEON,Cube Force,0.58013752
MEG,Controller Chaos,0.580131854
GENE,WARRIOR'S WAY,0.58011028
ASH,Scorched Stone,0.580084635
BARLEY,Deep End,0.580075347
EL PRIMO,Sticky Notes,0.580067091
SQUEAK,Split,0.58004543
BULL,Sneaky Fields,0.580045015
POCO,Dry Season,0.580038389
PAM,Bot Drop,0.580019907
MEG,Robo Ring,0.580007514
EMZ,Rattlesnake Ravine,0.579992056
COLONEL RUFFS,DUELIST'S DESTINY,0.579987088
ASH,Cavern Churn,0.579984123
MORTIS,Layer Cake,0.579981148
EMZ,Field Goal,0.579973648
ASH,Acute Angle,0.579963473
GRIFF,Goldarm Gulch,0.57994455
BIBI,Binary Coding,0.57991743
PIPER,Bric-a-Brac,0.579856958
FANG,Bric-a-Brac,0.57982146
GALE,Super Stadium,0.579811785
NITA,Kaboom Canyon,0.579806212
JACKY,Bridge Too Far,0.579804439
LOU,DANGER CHAMBER,0.579803399
ASH,Danger Zone,0.579782577
NANI,Nuts & Bolts,0.579771634
MAX,Field Goal,0.57975018
MR. P,Four Squared,0.579726109
POCO,Center Stage,0.57970089
GROM,Night at the Museum,0.579678816
RICO,Lit Match,0.57965027
NITA,Goldarm Gulch,0.579645201
STU,Parallel Plays,0.579639569
ROSA,Luis' Revenge,0.579638405
BELLE,Power Shot,0.579616424
ROSA,Some Assembly Required,0.579614725
NITA,Deathcap Trap,0.579601794
JACKY,Dry Season,0.579581405
PENNY,Deathcap Trap,0.579577083
JESSIE,Deathcap Trap,0.579537643
FRANK,SHROUDING SERPENT,0.579517844
8-BIT,DUELIST'S DESTINY,0.579508826
GROM,Parallel Plays,0.579442741
TICK,MONKEY MAZE,0.579401182
GRIFF,Pinhole Punt,0.579393698
BELLE,Dry Season,0.579371377
COLONEL RUFFS,Deep End,0.579360429
ASH,Crystal Arcade,0.579326627
JACKY,DANGER CHAMBER,0.579305546
EMZ,TIGER TRAP,0.579291836
GROM,Bridge Too Far,0.57927853
RICO,Field Goal,0.579271766
ROSA,Ends Meet,0.579247086
BYRON,DANGER CHAMBER,0.579228169
PENNY,Flaring Phoenix,0.579198314
ROSA,Feast or Famine,0.579145953
SURGE,Split,0.579124271
ASH,Dried Up River,0.57911898
ROSA,Excel,0.5790794
PENNY,WARRIOR'S WAY,0.579002339
SHELLY,Center Stage,0.579001013
BELLE,Bot Drop,0.578962065
PIPER,Bridge Too Far,0.578956483
SANDY,Sticky Notes,0.578916843
EMZ,SUPER CITY,0.578873086
JESSIE,DANGER CHAMBER,0.5788515
BULL,Field Goal,0.578822911
EL PRIMO,Super Stadium,0.578812141
POCO,Triple Dribble,0.578809358
NITA,Controller Chaos,0.578806629
BEA,SUPER CITY,0.578774369
BO,Middle Ground,0.578720731
BUZZ,WARRIOR'S WAY,0.578704787
LOLA,Excel,0.578678052
PENNY,Binary Coding,0.578655577
NANI,Junk Park,0.578647013
TARA,Danger Zone,0.578633317
RICO,Split,0.578617247
TICK,Goldarm Gulch,0.578608914
BIBI,Rattlesnake Ravine,0.578593007
TICK,Middle Ground,0.578592143
TARA,Hot Potato,0.578587194
BYRON,Dry Season,0.578585525
SURGE,Lit Match,0.578561917
LOLA,Bridge Too Far,0.578533278
EMZ,Pinhole Punt,0.578521259
LOLA,Shooting Star,0.578511438
GENE,Flaring Phoenix,0.578510686
SQUEAK,Center Stage,0.578488496
STU,Firm Grip,0.578474824
GALE,Center Field,0.578457921
LOU,Power Shot,0.578457396
TARA,Undermine,0.578450649
NANI,Rattlesnake Ravine,0.578434097
CROW,Firm Grip,0.578398178
JACKY,Night at the Museum,0.57837021
FANG,Some Assembly Required,0.578349254
SQUEAK,WARRIOR'S WAY,0.578336237
EL PRIMO,WARRIOR'S WAY,0.578290319
LOU,Nuts & Bolts,0.578266858
JESSIE,Backyard Bowl,0.578201671
LOLA,Undermine,0.57819397
STU,Slalom Slam,0.578134528
SPROUT,DANGER CHAMBER,0.57812946
8-BIT,Middle Ground,0.57811101
CROW,Gem Source,0.578042716
BO,Ends Meet,0.578030489
NITA,Gem Source,0.57801627
NITA,Last Stand,0.578010182
SPIKE,Pierced,0.578007756
BEA,Center Field,0.578005361
CARL,SHROUDING SERPENT,0.577962702
RICO,Some Assembly Required,0.577941778
GRIFF,Hideout,0.577932411
BARLEY,Cube Force,0.577929828
GALE,Split,0.577893333
FRANK,Controller Chaos,0.577874949
LOLA,Belle's Rock,0.577835918
RICO,Ends Meet,0.577805185
BULL,Pinball Dreams,0.577787036
BELLE,Acute Angle,0.577776088
RICO,Acute Angle,0.57776923
BYRON,WARRIOR'S WAY,0.577718299
8-BIT,Hard Rock Mine,0.577710203
NITA,Cotton Candy Dreams,0.577681006
SURGE,Rockwall Brawl,0.577638622
PENNY,Gem Source,0.577620921
SQUEAK,Ends Meet,0.577603336
TARA,Gem Source,0.577597531
NANI,Robo Ring,0.577574577
NITA,Deep End,0.577502462
POCO,Luis' Revenge,0.577474635
LEON,Ends Meet,0.577474338
MR. P,Hot Potato,0.577471168
PAM,Controller Chaos,0.577446947
JESSIE,Flaring Phoenix,0.577445904
GRIFF,Deep End,0.57744314
DARRYL,Dark Passage,0.57733207
POCO,Undermine,0.577332042
EL PRIMO,Pinhole Punt,0.577328092
NITA,Rattlesnake Ravine,0.5773137
MAX,Sneaky Fields,0.577304882
PENNY,Middle Ground,0.577295314
LOLA,Rattlesnake Ravine,0.577253495
AMBER,Super Stadium,0.577251367
GENE,Hot Potato,0.5772497
DARRYL,Bridge Too Far,0.577244478
ASH,Gem Fort,0.577218766
SPIKE,Sneaky Fields,0.577214682
POCO,Sticky Notes,0.577196265
MEG,Electric Zone,0.577184298
BUZZ,SHROUDING SERPENT,0.577180171
DARRYL,Safety Center,0.57717693
PAM,Deep Diner,0.577158213
FANG,Flaring Phoenix,0.577141536
ROSA,Dry Season,0.577131032
BEA,Slalom Slam,0.57709684
AMBER,Kaboom Canyon,0.577096488
PENNY,Dueling Beetles,0.577063316
LEON,Layer Cake,0.577056421
8-BIT,Deep Diner,0.577038111
EL PRIMO,Slalom Slam,0.577025461
FRANK,Danger Zone,0.5770194
MEG,Night at the Museum,0.577019039
BIBI,DANGER CHAMBER,0.577016589
FANG,Cavern Churn,0.577003811
SPIKE,Sticky Notes,0.576992313
FANG,Four Squared,0.576989717
GROM,Ring of Fire,0.576974017
RICO,Deathcap Trap,0.576971458
GENE,Split,0.576951182
BELLE,Some Assembly Required,0.576931017
NITA,Sticky Notes,0.576928618
LOU,Center Field,0.576888644
ROSA,Controller Chaos,0.57688101
FANG,Split,0.576854881
BELLE,Undermine,0.576820697
BELLE,Belle's Rock,0.576779571
RICO,Pierced,0.576770249
ASH,Undermine,0.576712725
PAM,Firm Grip,0.576710781
DARRYL,Split,0.576700447
SPIKE,Triple Dribble,0.576693558
SQUEAK,Super Stadium,0.576606803
8-BIT,Pinhole Punt,0.576581588
CARL,Pinhole Punt,0.576566076
LOLA,Dry Season,0.576565182
MEG,Dark Fantasies,0.576557903
NITA,DUELIST'S DESTINY,0.576541501
STU,Junk Park,0.576512554
SQUEAK,Cube Force,0.576506646
BYRON,Field Goal,0.576470588
SQUEAK,Slalom Slam,0.576466253
SHELLY,Pinhole Punt,0.576460589
CARL,Undermine,0.576455477
DARRYL,Acid Lakes,0.576440095
SHELLY,Danger Zone,0.576434028
SANDY,Hard Rock Mine,0.57642772
BELLE,Excel,0.576423453
COLT,WARRIOR'S WAY,0.576412626
AMBER,Slalom Slam,0.576409882
EL PRIMO,Power Shot,0.576405783
AMBER,Dark Fantasies,0.576386953
LOLA,Hard Rock Mine,0.576384905
PENNY,Shooting Star,0.57638149
LOU,Dry Season,0.576363832
PENNY,DUELIST'S DESTINY,0.576339619
TARA,Deep Diner,0.576339082
PENNY,Undermine,0.576338132
COLT,Safe Zone,0.576331074
CARL,MONKEY MAZE,0.576323489
BIBI,Hot Potato,0.576303468
RICO,Factory Rush,0.576301758
PENNY,Four Squared,0.576299768
SQUEAK,Power Shot,0.576297516
MEG,Cotton Candy Dreams,0.576282172
SHELLY,Center Field,0.576272409
SANDY,Controller Chaos,0.576251316
COLONEL RUFFS,Dueling Beetles,0.576247352
MR. P,Night at the Museum,0.576234293
NITA,Luis' Revenge,0.576224757
POCO,Flooded Mine,0.576202137
POCO,Backyard Bowl,0.576172879
STU,Center Stage,0.57611587
COLETTE,Excel,0.57610085
PENNY,Pinball Dreams,0.576087954
BELLE,Sneaky Fields,0.576087855
RICO,Hard Rock Mine,0.576082794
ASH,Middle Ground,0.576074421
NITA,Backyard Bowl,0.576035742
STU,Nuts & Bolts,0.576034138
LOU,Super Stadium,0.576016665
MORTIS,Lit Match,0.575996701
POCO,Pierced,0.575986967
MEG,Middle Ground,0.575986882
MR. P,Rattlesnake Ravine,0.575981764
FANG,NO SURRENDER,0.575981739
GALE,Nuts & Bolts,0.575954667
STU,Skull Creek,0.575954336
AMBER,Firm Grip,0.575953377
BELLE,Shooting Star,0.575930482
AMBER,Center Stage,0.575886766
LOU,SUPER CITY,0.575878481
BIBI,Power Shot,0.575857601
8-BIT,Excel,0.57585688
NITA,Pierced,0.575849469
BELLE,Lit Match,0.575834754
SQUEAK,Middle Ground,0.575825642
NITA,Excel,0.575763257
PENNY,Cotton Candy Dreams,0.575748585
JESSIE,Safe Zone,0.575721002
SQUEAK,Binary Coding,0.575714119
GRIFF,Backyard Bowl,0.57571026
AMBER,Bridge Too Far,0.575704581
CARL,Power Shot,0.575700868
JACKY,SHROUDING SERPENT,0.575693925
MORTIS,Electric Zone,0.575647477
TICK,Flaring Phoenix,0.575637741
SPROUT,Pit Stop,0.575601355
NANI,Pit Stop,0.575595013
SANDY,Center Stage,0.575586832
BELLE,Slalom Slam,0.575559278
LOLA,Electric Zone,0.575559204
SPIKE,Field Goal,0.575555996
STU,Acute Angle,0.575547977
CARL,Pierced,0.575536878
SPROUT,TIGER TRAP,0.575508224
ROSA,Safe Zone,0.575497879
JACKY,Feast or Famine,0.575486793
PENNY,Belle's Rock,0.575477018
DYNAMIKE,Factory Rush,0.575476915
MEG,Hard Rock Mine,0.575470029
NITA,Lit Match,0.575469906
FANG,Middle Ground,0.575465055
COLETTE,SHROUDING SERPENT,0.575434662
NANI,Dueling Beetles,0.575414519
POCO,Danger Zone,0.575398818
BELLE,Layer Cake,0.575390843
ROSA,Bridge Too Far,0.575327243
POCO,Cube Force,0.575317124
TICK,DANGER CHAMBER,0.575288569
COLETTE,Undermine,0.575277236
LEON,Minecart Madness,0.575258163
BELLE,Electric Zone,0.575254177
AMBER,Middle Ground,0.575251085
BYRON,Deep End,0.575209243
BEA,WARRIOR'S WAY,0.575207908
GALE,Dry Season,0.575177078
FANG,Hot Potato,0.575139572
PAM,Flaring Phoenix,0.575137597
FRANK,Middle Ground,0.575116199
LOU,Field Goal,0.575110707
PENNY,Factory Rush,0.575091594
GALE,SUPER CITY,0.575087876
ROSA,Double Swoosh,0.575072326
SQUEAK,Dark Fantasies,0.575064042
BARLEY,Gem Fort,0.575058136
FANG,Acid Lakes,0.575005743
FANG,Excel,0.57500002
PENNY,Goldarm Gulch,0.574979971
LOU,SHROUDING SERPENT,0.574950846
LOU,Pinhole Punt,0.574948615
BO,Pierced,0.574892452
MEG,Some Assembly Required,0.574889967
GALE,Triple Dribble,0.574874239
BO,Undermine,0.574864559
BYRON,Shooting Star,0.574855452
GROM,Robo Ring,0.574838751
COLONEL RUFFS,WARRIOR'S WAY,0.574827433
DARRYL,Gem Source,0.574804737
CARL,Electric Zone,0.574796314
SURGE,Nuts & Bolts,0.574793732
AMBER,Some Assembly Required,0.57477436
STU,Deep Diner,0.574758524
JESSIE,Sticky Notes,0.57473817
LOLA,Danger Zone,0.574691117
AMBER,MONKEY MAZE,0.574681996
COLONEL RUFFS,Pierced,0.574626679
DARRYL,Ruins,0.574593184
GROM,Kaboom Canyon,0.574527961
LOLA,Layer Cake,0.574479221
PIPER,Excel,0.574476083
JESSIE,Excel,0.574474096
CARL,Binary Coding,0.574403828
MEG,Pierced,0.57436416
JACKY,TIGER TRAP,0.574302341
EL PRIMO,Danger Zone,0.574289056
EMZ,Pinball Dreams,0.574279282
MEG,Double Trouble,0.574278581
CARL,Skull Creek,0.574262908
TARA,Flaring Phoenix,0.574241489
LOLA,Junk Park,0.574233222
GENE,MONKEY MAZE,0.574228145
STU,Super Stadium,0.57422775
JACKY,Acute Angle,0.574221788
MAX,Pinball Dreams,0.574185924
LOLA,Gem Source,0.574181984
ROSA,Danger Zone,0.574110545
ROSA,Middle Ground,0.574081337
BELLE,Danger Zone,0.574060544
MR. P,SHROUDING SERPENT,0.574030748
SQUEAK,Dry Season,0.574012144
BUZZ,NO SURRENDER,0.574008604
ASH,Excel,0.574006159
TICK,Last Stand,0.574001563
8-BIT,Pinball Dreams,0.574000331
RICO,Sticky Notes,0.573966184
EDGAR,Rattlesnake Ravine,0.573959855
COLONEL RUFFS,SHROUDING SERPENT,0.573946847
JACKY,Goldarm Gulch,0.573943803
CARL,WARRIOR'S WAY,0.573939703
SPROUT,DUELIST'S DESTINY,0.573924647
EDGAR,TIGER TRAP,0.573916975
TICK,Electric Zone,0.573912215
GRIFF,Ring of Fire,0.573900345
BUZZ,MONKEY MAZE,0.573898318
FANG,Layer Cake,0.573874312
MAX,Binary Coding,0.573866537
FANG,Scorched Stone,0.573852606
LOU,Sneaky Fields,0.573836035
BROCK,NO SURRENDER,0.573830699
FANG,Feast or Famine,0.573827609
RICO,Controller Chaos,0.573793856
MEG,Flooded Mine,0.573790147
COLT,DUELIST'S DESTINY,0.573779317
JESSIE,Dry Season,0.573772893
ASH,Some Assembly Required,0.573749155
COLETTE,Pinball Dreams,0.573730657
JACKY,Gem Fort,0.573728832
GRIFF,Safe Zone,0.573708044
BELLE,Luis' Revenge,0.573680775
JACKY,Minecart Madness,0.573680412
LEON,Goldarm Gulch,0.573664583
COLETTE,Electric Zone,0.573658688
GALE,Backyard Bowl,0.573635408
8-BIT,Cube Force,0.573633078
ASH,Flooded Mine,0.5736246
8-BIT,Sneaky Fields,0.573608326
TICK,DUELIST'S DESTINY,0.573607847
ASH,SUPER CITY,0.573596482
COLETTE,Bridge Too Far,0.573550296
MR. P,Pierced,0.573543816
MR. P,Bric-a-Brac,0.573542652
GRIFF,Four Squared,0.573541993
NITA,Middle Ground,0.573531606
MORTIS,Hideout,0.573528122
GRIFF,Bridge Too Far,0.573523834
POCO,Belle's Rock,0.573510545
AMBER,Pinhole Punt,0.57348408
BELLE,Cotton Candy Dreams,0.573472603
CROW,Slalom Slam,0.573442344
ASH,Parallel Plays,0.573432554
CARL,Pinball Dreams,0.573418593
GRIFF,Ends Meet,0.573405976
CARL,Kaboom Canyon,0.573401981
ASH,Pierced,0.57340033
SQUEAK,Sneaky Fields,0.57339519
PAM,Ends Meet,0.573362313
BARLEY,Ends Meet,0.573357191
SPIKE,Pinball Dreams,0.573347775
JACKY,Electric Zone,0.57331091
MEG,Feast or Famine,0.573280006
EL PRIMO,Rattlesnake Ravine,0.573262053
DARRYL,Four Squared,0.57325584
BELLE,WARRIOR'S WAY,0.57324683
COLETTE,Field Goal,0.57323294
SQUEAK,Backyard Bowl,0.573224699
DARRYL,Safe Zone,0.573220953
NITA,Belle's Rock,0.573206019
MEG,Goldarm Gulch,0.57320085
EL PRIMO,Undermine,0.573199198
FANG,Safety Center,0.573196975
BO,Flooded Mine,0.573196636
STU,Some Assembly Required,0.573165846
LOU,Cube Force,0.573165804
FRANK,NO SURRENDER,0.573145728
GRIFF,Sticky Notes,0.573144248
PAM,Cube Force,0.573141727
COLT,Kaboom Canyon,0.573141495
SQUEAK,Triple Dribble,0.573140793
NITA,Undermine,0.573140513
NANI,Split,0.57313801
AMBER,Electric Zone,0.573136398
JACKY,DUELIST'S DESTINY,0.573107168
AMBER,Gem Source,0.57309482
NANI,Gem Source,0.573068571
CARL,Feast or Famine,0.573057671
SANDY,Gem Source,0.573044085
PAM,Gem Fort,0.573042113
NITA,Double Swoosh,0.573017316
BUZZ,Sneaky Fields,0.573015842
ASH,Skull Creek,0.573015563
JESSIE,Dueling Beetles,0.573010598
SPIKE,Minecart Madness,0.573003638
JACKY,Luis' Revenge,0.572973452
GENE,SUPER CITY,0.572973081
BARLEY,Minecart Madness,0.572932651
LOU,Firm Grip,0.572916196
8-BIT,MONKEY MAZE,0.572911099
POCO,Pinball Dreams,0.572896819
EL PRIMO,Binary Coding,0.572894657
EMZ,Dry Season,0.572878302
MR. P,DUELIST'S DESTINY,0.572878256
GENE,DANGER CHAMBER,0.572865762
LOLA,Flooded Mine,0.572861315
EDGAR,Robo Ring,0.572859999
BELLE,Triple Dribble,0.572855554
POCO,Minecart Madness,0.572840124
CARL,Split,0.572815978
BIBI,Some Assembly Required,0.572810698
LOU,Junk Park,0.57280472
CARL,Flooded Mine,0.572803623
8-BIT,Flaring Phoenix,0.572797111
JESSIE,Hideout,0.572789121
COLONEL RUFFS,Excel,0.572779032
BEA,Backyard Bowl,0.572755455
ROSA,Goldarm Gulch,0.572753964
JESSIE,Belle's Rock,0.572745154
GRIFF,Shooting Star,0.572739845
EMZ,WARRIOR'S WAY,0.572728518
EL PRIMO,DUELIST'S DESTINY,0.572719106
DARRYL,Minecart Madness,0.572700169
LOU,Goldarm Gulch,0.572677304
STU,Triple Dribble,0.572671596
BELLE,Hard Rock Mine,0.57267069
POCO,Crystal Arcade,0.572651213
PAM,Binary Coding,0.572649525
LOLA,Dueling Beetles,0.572640572
TARA,Four Squared,0.572632139
LOLA,Bot Drop,0.572620339
PAM,Triple Dribble,0.57261062
AMBER,Belle's Rock,0.572602828
PENNY,Dark Fantasies,0.572592913
LOU,Center Stage,0.572552228
COLETTE,Luis' Revenge,0.57253996
DYNAMIKE,SUPER CITY,0.572520273
TICK,Excel,0.572512894
LEON,Excel,0.572508677
BELLE,Minecart Madness,0.572444741
BELLE,SUPER CITY,0.572443284
PENNY,Backyard Bowl,0.572439834
CARL,Belle's Rock,0.572430185
MEG,Excel,0.572429685
EMZ,Danger Zone,0.572427036
PENNY,Controller Chaos,0.572422505
BUZZ,Pit Stop,0.572409313
ROSA,Ruins,0.572404721
BYRON,Cube Force,0.572385139
PENNY,Excel,0.572374113
SPIKE,Center Stage,0.572369061
JACKY,Deep Diner,0.572350701
TARA,SUPER CITY,0.572337302
SQUEAK,Shooting Star,0.572305345
AMBER,Binary Coding,0.572270535
COLONEL RUFFS,Diagonal Alley,0.572256892
PENNY,Center Stage,0.572230959
ASH,Layer Cake,0.572227304
8-BIT,Goldarm Gulch,0.572225198
BUZZ,Sticky Notes,0.572220043
MEG,Junk Park,0.572162987
BUZZ,Goldarm Gulch,0.572158195
PAM,Sneaky Fields,0.572149622
GALE,Factory Rush,0.572132745
DYNAMIKE,NO SURRENDER,0.57211419
GENE,Deep End,0.572104273
SPIKE,Gem Source,0.572083286
MEG,Gem Fort,0.572075403
MR. P,Flooded Mine,0.572058693
NANI,WARRIOR'S WAY,0.572048747
ROSA,Split,0.572045427
TARA,Center Field,0.572004443
BROCK,Middle Ground,0.57200237
BULL,Slalom Slam,0.571986584
CARL,Dark Fantasies,0.571964032
BARLEY,Some Assembly Required,0.571908905
CROW,Acute Angle,0.571891153
SANDY,Pierced,0.571887575
SQUEAK,Flooded Mine,0.571878498
BROCK,Luis' Revenge,0.571877315
GALE,Parallel Plays,0.571849645
BIBI,Center Field,0.571840792
8-BIT,Ends Meet,0.571828681
COLONEL RUFFS,Gem Source,0.571805399
POCO,Gem Fort,0.571801211
SANDY,Double Swoosh,0.571797194
TARA,Double Swoosh,0.57176837
JACKY,Gem Source,0.571765051
PAM,Excel,0.571760605
FANG,Dark Passage,0.571752373
GRIFF,Bric-a-Brac,0.571749445
JACKY,Firm Grip,0.571744418
BIBI,Pinhole Punt,0.571736527
MEG,Safety Center,0.571726676
LOLA,Double Swoosh,0.571724664
RICO,MONKEY MAZE,0.571720918
TARA,Triple Dribble,0.571720406
BYRON,Hard Rock Mine,0.571718551
CROW,DANGER CHAMBER,0.571713734
SANDY,Lit Match,0.571711627
AMBER,Sneaky Fields,0.571701325
COLONEL RUFFS,Some Assembly Required,0.571691796
PENNY,Sneaky Fields,0.571663059
8-BIT,Shooting Star,0.571646503
EDGAR,Hot Potato,0.571639868
JACKY,Ring of Fire,0.571634184
PENNY,Ends Meet,0.571627093
TARA,Backyard Bowl,0.571617844
JESSIE,Hot Potato,0.571615818
RICO,Goldarm Gulch,0.57161368
PENNY,Field Goal,0.5715803
NANI,Acute Angle,0.571564096
POCO,Four Squared,0.571529733
TARA,Deathcap Trap,0.571519451
MR. P,Excel,0.571475277
MR. P,Ends Meet,0.571470492
NITA,Factory Rush,0.571464327
CROW,Kaboom Canyon,0.571463235
BULL,Binary Coding,0.571460993
BULL,DUELIST'S DESTINY,0.571454657
DARRYL,Hard Rock Mine,0.571443431
POCO,Acute Angle,0.571441533
STU,Luis' Revenge,0.571424092
CARL,Middle Ground,0.571423078
GRIFF,Belle's Rock,0.571401409
DARRYL,Dried Up River,0.571386658
LOLA,Controller Chaos,0.57136438
SQUEAK,Bridge Too Far,0.571357584
MEG,Acute Angle,0.571357004
RICO,Center Stage,0.571348591
COLETTE,Center Field,0.571346963
SANDY,Four Squared,0.571340342
BELLE,DANGER CHAMBER,0.571321139
SURGE,Deep Diner,0.571318018
POCO,Deathcap Trap,0.571315537
LEON,Danger Zone,0.571314928
ASH,Electric Zone,0.571291332
SANDY,Belle's Rock,0.571281353
COLETTE,Some Assembly Required,0.571279466
JESSIE,Minecart Madness,0.571279401
ASH,Diagonal Alley,0.571257747
LOU,Luis' Revenge,0.571257589
GENE,Ends Meet,0.571252337
ROSA,Pierced,0.5712368
SPROUT,Shooting Star,0.571225042
BEA,Triple Dribble,0.571221632
BARLEY,Junk Park,0.571220467
NITA,Hideout,0.571214696
8-BIT,Luis' Revenge,0.57121315
BO,Cube Force,0.571211553
ROSA,Deathcap Trap,0.571206278
SQUEAK,Pinhole Punt,0.571205346
MR. P,DANGER CHAMBER,0.571204884
DARRYL,Flaring Phoenix,0.571173031
NANI,Parallel Plays,0.571171317
COLETTE,Robo Ring,0.571157548
MEG,Dry Season,0.571142983
BELLE,Split,0.571124095
RICO,Gem Fort,0.571122979
SPROUT,Flaring Phoenix,0.571121254
RICO,Firm Grip,0.571112409
BARLEY,Undermine,0.571107777
MEG,Deep End,0.571107702
BELLE,Deep End,0.57109891
8-BIT,Bric-a-Brac,0.571086104
BARLEY,Dry Season,0.571075919
PENNY,Dry Season,0.571058421
RICO,Sneaky Fields,0.571050904
EL PRIMO,Sneaky Fields,0.571043329
STU,Split,0.571027522
COLT,SHROUDING SERPENT,0.571019329
CARL,Center Stage,0.571017235
PAM,Deep End,0.570999107
SQUEAK,Layer Cake,0.570990885
SPIKE,Acute Angle,0.570953269
SQUEAK,Electric Zone,0.570949656
MEG,Danger Zone,0.57092901
BULL,Power Shot,0.570922239
COLETTE,Night at the Museum,0.570911161
COLETTE,Deep End,0.570892101
BEA,Sticky Notes,0.570881053
PENNY,Firm Grip,0.570878828
MR. P,Flaring Phoenix,0.570870856
COLT,Pit Stop,0.57085848
GRIFF,Cotton Candy Dreams,0.570797468
SPROUT,Junk Park,0.570787927
MEG,Undermine,0.570787336
MR. P,WARRIOR'S WAY,0.570787125
LOU,Factory Rush,0.570785197
DARRYL,Luis' Revenge,0.570780812
CARL,Super Stadium,0.570776452
PAM,Electric Zone,0.570764062
BELLE,Middle Ground,0.570751328
BO,Acute Angle,0.570750354
JESSIE,Luis' Revenge,0.57074683
LEON,Shooting Star,0.570746338
JACKY,Cube Force,0.570741217
GENE,Slalom Slam,0.570737407
ROSA,Rattlesnake Ravine,0.570736143
GALE,Kaboom Canyon,0.570735535
STU,Controller Chaos,0.570735142
CARL,Flaring Phoenix,0.570718954
AMBER,Luis' Revenge,0.570714843
MR. P,Bridge Too Far,0.570713419
8-BIT,Rattlesnake Ravine,0.5707054
PAM,Super Stadium,0.570705123
NITA,Dark Fantasies,0.570693044
BULL,Danger Zone,0.570685471
FRANK,SUPER CITY,0.570683082
BO,Safe Zone,0.570671353
GALE,Safe Zone,0.570656786
LOU,Belle's Rock,0.570643814
MEG,Dark Passage,0.570631112
MAX,Lit Match,0.570611933
LOLA,Parallel Plays,0.570608658
JACKY,Controller Chaos,0.570601861
RICO,Pinball Dreams,0.570599402
FANG,MONKEY MAZE,0.57059803
DARRYL,Danger Zone,0.570587066
BELLE,Ends Meet,0.570556001
PAM,Slalom Slam,0.570554806
COLETTE,Binary Coding,0.570554285
EMZ,DUELIST'S DESTINY,0.570538241
PENNY,Cube Force,0.570533006
BARLEY,SHROUDING SERPENT,0.57052901
FANG,Bridge Too Far,0.570521464
BO,Deathcap Trap,0.57051956
PENNY,Crystal Arcade,0.570517148
AMBER,Deep End,0.570507298
BO,Slalom Slam,0.570499884
BELLE,Flaring Phoenix,0.570494017
COLETTE,Bric-a-Brac,0.570493457
SQUEAK,Junk Park,0.570471723
STU,Rockwall Brawl,0.570469355
AMBER,Power Shot,0.570468232
JACKY,Flaring Phoenix,0.570467892
BO,Pinhole Punt,0.570431423
