Brawler,Map,Adjusted Win Rate
8-BIT,Bridge Too Far,0.609479271
ASH,Firm Grip,0.609436574
LOLA,Super Stadium,0.609406711
SPIKE,DUELIST'S DESTINY,0.609343988
MEG,Binary Coding,0.60931243
MEG,Center Stage,0.609250388
PAM,Danger Zone,0.609211642
EDGAR,Last Stand,0.609080132
LOLA,Slalom Slam,0.608801165
LOLA,Some Assembly Required,0.608564633
NITA,Center Field,0.608462651
NITA,Pinball Dreams,0.608282883
BEA,NO SURRENDER,0.607578356
JESSIE,Gem Source,0.607358363
LOLA,Backyard Bowl,0.606901259
NITA,Super Stadium,0.606865619
RICO,Binary Coding,0.606780343
JESSIE,Night at the Museum,0.60672539
JESSIE,Super Stadium,0.606657822
PAM,Backyard Bowl,0.606364629
GROM,Cavern Churn,0.606194712
FRANK,Nuts & Bolts,0.606049621
LOLA,MONKEY MAZE,0.60597384
MEG,Pinball Dreams,0.605887693
AMBER,WARRIOR'S WAY,0.60585716
BEA,Pinhole Punt,0.605744196
BULL,Rattlesnake Ravine,0.605743945
PAM,DANGER CHAMBER,0.605621947
EMZ,Binary Coding,0.605579072
ASH,MONKEY MAZE,0.605218401
GROM,Gem Fort,0.605022763
COLONEL RUFFS,NO SURRENDER,0.604991379
ASH,TIGER TRAP,0.604936673
GROM,Skull Creek,0.604926692
ROSA,Pinball Dreams,0.604902861
SANDY,Binary Coding,0.604679695
DARRYL,Diagonal Alley,0.604677583
NITA,Binary Coding,0.604621087
DARRYL,Center Stage,0.604528622
GROM,Controller Chaos,0.604512127
GROM,Minecart Madness,0.6044578
GROM,Scorched Stone,0.60418929
JACKY,Triple Dribble,0.604173516
PAM,SHROUDING SERPENT,0.604110052
NITA,Power Shot,0.604037416
TARA,Field Goal,0.603971157
GROM,Feast or Famine,0.603796299
GROM,Crystal Arcade,0.603681228
GROM,Flooded Mine,0.603613085
ASH,Triple Dribble,0.603596099
GROM,Pierced,0.603568332
MEG,Dueling Beetles,0.603495757
LOLA,Pinhole Punt,0.603485941
ASH,SHROUDING SERPENT,0.603347189
